Date,Open,High,Low,Close,Volume,Marketcap,Vol/Cap,HL_spread,OC_spread
2022-05-29,1.000148747,1.000825576,0.999828444,1.000586164,3972282488.0,53728403269,0.07393263611635956,0.0009971319999999562,-0.0004374170000001065
2022-05-28,1.000251245,1.000846796,0.999837513,1.000150137,4367920911.0,53699047372,0.08134075229940747,0.0010092830000000275,0.0001011079999999609
2022-05-27,0.999963818,1.001228051,0.999704636,1.00040304,6832701659.0,53562595190,0.12756479843373325,0.0015234149999999724,-0.00043922199999990585
2022-05-26,0.999838121,1.00117165,0.999739962,0.999930013,6850921932.0,53197144152,0.12878364132527279,0.001431688000000042,-9.189199999992681e-05
2022-05-25,1.000176997,1.001007078,0.999778023,0.999821178,4580073336.0,53419227604,0.08573829202384511,0.0012290550000000344,0.00035581900000003497
2022-05-24,1.00014908,1.000907159,0.999738162,1.000179331,4616931095.0,53292785642,0.08663332267925962,0.0011689970000000605,-3.0251000000092176e-05
2022-05-23,1.000115002,1.000906144,0.999727853,1.000141304,5594245864.0,53322677857,0.10491307055138095,0.001178290999999998,-2.6301999999978065e-05
2022-05-22,1.000255222,1.00083426,0.99993663,1.000091708,3493584223.0,53139292857,0.06574389750351736,0.0008976299999999826,0.00016351400000003125
2022-05-21,0.99994394,1.000861672,0.999865669,1.000266358,3085866979.0,53061574511,0.05815634020359272,0.000996003000000134,-0.000322417999999991
2022-05-20,1.000278415,1.000887445,0.99978683,0.999906852,5519038708.0,52925462320,0.10427946145525517,0.001100615000000027,0.00037156299999996367
2022-05-19,0.999809738,1.000822159,0.999809738,1.000269119,6580258237.0,52731228912,0.12478863801906456,0.0010124209999999856,-0.00045938099999998094
2022-05-18,1.000219027,1.000798704,0.999771307,0.999771307,5791540700.0,52254317671,0.11083372548206055,0.0010273969999998744,0.0004477199999999293
2022-05-17,1.000623411,1.001045237,0.999940063,1.000219369,5271575140.0,52257410413,0.10087708323733925,0.0011051739999999866,0.00040404199999999335
2022-05-16,1.000195335,1.000816237,0.999739555,1.000580657,6650512579.0,52005779140,0.12788026040522849,0.0010766819999999955,-0.00038532200000007677
2022-05-15,1.000367747,1.001026481,0.999863081,1.000182757,4610661832.0,51148192672,0.09014320137501182,0.0011634000000000366,0.00018499000000016252
2022-05-14,1.00041828,1.000976647,0.999695002,1.000380957,5734214071.0,51108110210,0.11219773236455968,0.0012816450000000534,3.7323000000144546e-05
2022-05-13,1.000601243,1.001900877,0.999637302,1.000346567,8025797259.0,50579540928,0.15867675174088128,0.002263574999999962,0.0002546759999999537
2022-05-12,1.000777104,1.011434236,0.99953147,1.000658884,18612052637.0,49597238718,0.37526388803264665,0.011902765999999954,0.00011822000000005772
2022-05-11,0.999785156,1.001349611,0.999253157,1.000766066,15143285239.0,49009770947,0.3089850237287623,0.0020964540000000254,-0.0009809100000000015
2022-05-10,0.99957562,1.000685181,0.999277832,0.999828484,8611992228.0,48444732861,0.1777694234110022,0.0014073489999999467,-0.0002528640000000193
2022-05-09,0.999994323,1.00068167,0.999376256,0.999594698,8493986111.0,48710396542,0.17437727290263702,0.0013054140000000602,0.00039962500000001455
2022-05-08,0.999917813,1.000631383,0.999547703,1.000087105,5432001418.0,48681199305,0.1115831469961769,0.0010836800000000313,-0.00016929199999993205
2022-05-07,1.000064581,1.000427469,0.999617175,0.99990594,3623126811.0,48561122684,0.07460961795666544,0.0008102939999998782,0.0001586409999999594
2022-05-06,0.999946828,1.000608228,0.999523245,1.000072451,5376284197.0,48818135775,0.11012883043668416,0.0010849829999999283,-0.00012562300000007465
2022-05-05,1.000066179,1.000604652,0.999381015,0.999957803,5202645491.0,48847546127,0.10650781673809176,0.0012236370000000552,0.00010837600000002112
2022-05-04,1.000118102,1.000647578,0.999619071,1.000077316,4446134900.0,48922769160,0.09088068758861728,0.0010285069999999008,4.0786000000014866e-05
2022-05-03,1.000055591,1.000381453,0.999475752,1.00011944,3691702287.0,49044522714,0.07527246841666553,0.00090570099999987,-6.384900000000471e-05
2022-05-02,1.000361497,1.00056407,0.999500196,1.00006013,3902762410.0,49153599585,0.0793993205574102,0.0010638740000000757,0.00030136700000005234
2022-05-01,1.00027914,1.000849626,0.999486967,1.00038142,3757508036.0,49298296907,0.0762198345936462,0.0013626589999999883,-0.00010228000000012116
2022-04-30,1.000008457,1.000494556,0.999280467,1.000295283,3824993132.0,49363696085,0.07748595497009976,0.0012140890000000848,-0.0002868259999999623
2022-04-29,1.000007263,1.000417246,0.999541698,1.000022776,4076411418.0,49380238149,0.08255147343963451,0.0008755480000000038,-1.5512999999911514e-05
2022-04-28,1.000309877,1.000505173,0.99950728,1.000028774,4611631886.0,49454880906,0.0932492769473135,0.000997893000000083,0.0002811030000000603
2022-04-27,1.000129265,1.000838725,0.99953528,1.000320617,3849488651.0,49570925341,0.0776561789903909,0.0013034449999999032,-0.000191352000000089
2022-04-26,1.000191623,1.001826231,0.999362999,1.000126583,4221564998.0,49496598056,0.08529000302654659,0.002463231999999871,6.504000000018273e-05
2022-04-25,0.999960469,1.002027939,0.999399588,1.000218462,4720363070.0,49903250953,0.0945902918117648,0.0026283510000000287,-0.0002579930000000674
2022-04-24,0.999791234,1.00184386,0.999478164,0.999963456,2649077080.0,49890528150,0.05309779587891575,0.002365695999999917,-0.00017222199999999965
2022-04-23,1.000236872,1.000628117,0.999494978,1.000003787,2324060694.0,49892540348,0.046581326141938224,0.0011331390000000052,0.00023308500000007726
2022-04-22,1.000247312,1.000677174,0.999462575,1.000198647,3882678798.0,49902262355,0.07780566681283883,0.0012145989999999829,4.866500000000329e-05
2022-04-21,0.999839379,1.001758998,0.999439008,1.000281631,4474827385.0,49906402633,0.08966439472519855,0.0023199899999999385,-0.00044225200000003184
2022-04-20,0.99990789,1.000632641,0.99931319,0.99984698,4170091755.0,49884716882,0.08359457596730799,0.0013194509999999715,6.09099999999696e-05
2022-04-19,0.999882948,1.000604824,0.999319964,0.999896579,3629844066.0,50049208464,0.07252550394699885,0.0012848600000000543,-1.3630999999958426e-05
2022-04-18,0.999273358,1.000549629,0.998829245,0.999873157,4013104508.0,49918940264,0.08039242192996086,0.0017203839999999637,-0.0005997990000000675
2022-04-17,1.000202392,1.000321087,0.998904825,0.999258544,2678573075.0,50008804043,0.05356203025164994,0.0014162620000001125,0.0009438480000000249
2022-04-16,0.999734038,1.000431547,0.999269554,1.000226356,2152278186.0,50106118277,0.04295439878422894,0.0011619930000000833,-0.0004923179999999361
2022-04-15,0.999831292,1.000561782,0.999385507,0.999753105,3220618832.0,50172530768,0.06419087860830229,0.0011762749999999489,7.818699999995182e-05
2022-04-14,0.999725161,1.000333156,0.999080511,0.999839451,3957318706.0,50347096658,0.07860073308459971,0.0012526449999999967,-0.00011429000000007239
2022-04-13,0.999828935,1.000390496,0.999152608,0.999745264,3725782044.0,50573406244,0.07367077522965985,0.0012378880000000203,8.367100000006289e-05
2022-04-12,0.999813927,1.000624441,0.99923187,0.999865423,4605505010.0,50634695378,0.09095551924661172,0.001392571000000009,-5.149599999998422e-05
